Year	Month	DayofMonth	DayOfWeek	DepTime	CRSDepTime	ArrTime	CRSArrTime	UniqueCarrier	FlightNum	TailNum	ActualElapsedTime	CRSElapsedTime	AirTime	ArrDelay	DepDelay	Origin	Dest	Distance	TaxiIn	TaxiOut	Cancelled	Diverted	OrigAirport	OrigCity	OrigState	OrigLat	OrigLong	DestAirport	DestCity	DestState	DestLat	DestLong
2002	5	29	3	752	755	1012	1019	NW	402	N603NW	140	144	118	-7	-3	DFW	MSP	852	5	17	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	30	4	748	755	1034	1019	NW	402	N940N	166	144	135	15	-7	DFW	MSP	852	6	25	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	31	5	750	755	1023	1019	NW	402	N955N	153	144	131	4	-5	DFW	MSP	852	5	17	0	0	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225
2002	5	1	3	1122	1123	1350	1350	NW	403	N942N	148	147	129	0	-1	MSP	DFW	852	3	16	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	2	4	1122	1123	1354	1350	NW	403	N620NW	152	147	134	4	-1	MSP	DFW	852	8	10	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	3	5	1136	1123	1407	1350	NW	403	N8934E	151	147	125	17	13	MSP	DFW	852	8	18	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	4	6	1114	1123	1340	1350	NW	403	N922RW	146	147	127	-10	-9	MSP	DFW	852	9	10	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	5	7	1121	1123	1356	1350	NW	403	N9335	155	147	127	6	-2	MSP	DFW	852	4	24	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	6	1	1119	1123	1347	1350	NW	403	N920RW	148	147	130	-3	-4	MSP	DFW	852	7	11	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	7	2	1119	1123	1358	1350	NW	403	N924RW	159	147	142	8	-4	MSP	DFW	852	5	12	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	8	3	1124	1123	1404	1350	NW	403	N960N	160	147	138	14	1	MSP	DFW	852	4	18	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	9	4	1121	1123	1358	1350	NW	403	N89S	157	147	134	8	-2	MSP	DFW	852	11	12	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	10	5	1219	1123	1449	1350	NW	403	N621NW	150	147	129	59	56	MSP	DFW	852	13	8	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	11	6	1149	1123	1444	1350	NW	403	N915RW	175	147	128	54	26	MSP	DFW	852	17	30	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	12	7	1113	1123	1351	1350	NW	403	N915RW	158	147	134	1	-10	MSP	DFW	852	7	17	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	13	1	1118	1123	1341	1350	NW	403	N926RC	143	147	122	-9	-5	MSP	DFW	852	10	11	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	14	2	1116	1123	1333	1350	NW	403	N3324L	137	147	113	-17	-7	MSP	DFW	852	6	18	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	15	3	1126	1123	1402	1350	NW	403	N914RW	156	147	126	12	3	MSP	DFW	852	8	22	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	16	4	1120	1123	1344	1350	NW	403	N914RW	144	147	123	-6	-3	MSP	DFW	852	12	9	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	17	5	1130	1123	1412	1350	NW	403	N9341	162	147	134	22	7	MSP	DFW	852	6	22	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	18	6	1119	1123	1340	1350	NW	403	N963N	141	147	118	-10	-4	MSP	DFW	852	10	13	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	19	7	1118	1123	1339	1350	NW	403	N963N	141	147	111	-11	-5	MSP	DFW	852	14	16	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
2002	5	20	1	1122	1123	1334	1350	NW	403	N927RC	132	147	108	-16	-1	MSP	DFW	852	12	12	0	0	Minneapolis-St Paul Intl	Minneapolis	MN	44.88054694	-93.2169225	Dallas-Fort Worth International	Dallas-Fort Worth	TX	32.89595056	-97.0372
